*Duration_sec	7200.0
Wake	581.989990234375
N1	599.989990234375
Wake	647.989990234375
N1	665.989990234375
N2	683.989990234375
N1	689.989990234375
N2	701.989990234375
N1	737.989990234375
N2	767.989990234375
Wake	881.989990234375
N1	905.989990234375
N2	923.989990234375
N1	965.989990234375
N2	1001.989990234375
Wake	1013.97998046875
N1	1085.989990234375
REM	1193.989990234375
Wake	1217.989990234375
N1	1241.989990234375
N2	1259.989990234375
N1	1313.989990234375
Wake	1325.989990234375
N1	1337.989990234375
N2	1451.989990234375
N1	1457.989990234375
N2	1487.989990234375
N1	1493.989990234375
Wake	1505.989990234375
N1	1529.989990234375
N2	1565.989990234375
Wake	1571.989990234375
N1	1577.989990234375
N2	1637.989990234375
N1	1649.989990234375
N2	1697.989990234375
Wake	1787.989990234375
N1	1835.989990234375
N2	1913.989990234375
N1	1925.989990234375
N2	2033.989990234375
N1	2051.989990234375
Wake	2057.989990234375
N1	2075.989990234375
N2	2117.989990234375
Wake	2129.989990234375
N1	2141.989990234375
N2	2183.989990234375
N1	2219.989990234375
REM	2243.989990234375
N1	2249.989990234375
N2	2255.989990234375
N1	2267.989990234375
REM	2375.989990234375
Wake	2387.989990234375
N1	2411.989990234375
N2	2441.989990234375
Wake	2453.989990234375
N1	2465.989990234375
N2	2633.989990234375
N1	2639.989990234375
Wake	2645.989990234375
N1	2657.989990234375
N2	2693.989990234375
N1	2723.989990234375
Wake	2747.989990234375
N1	2783.989990234375
N2	2897.989990234375
Wake	2909.989990234375
N1	2915.989990234375
N2	2987.989990234375
N1	3017.989990234375
Wake	3035.989990234375
N1	3041.989990234375
N2	3137.989990234375
N1	3149.989990234375
Wake	3173.989990234375
N1	3191.989990234375
N2	3341.989990234375
Wake	3347.989990234375
N1	3389.989990234375
REM	3401.989990234375
N1	3407.989990234375
Wake	3425.989990234375
N1	3449.989990234375
REM	3557.989990234375
Wake	3569.989990234375
N1	3623.989990234375
Wake	3629.989990234375
N1	3647.989990234375
N2	3653.989990234375
N1	3695.989990234375
N2	3713.989990234375
N1	3725.989990234375
Wake	3731.989990234375
N2	3737.989990234375
N1	3749.989990234375
N2	3797.989990234375
N1	3827.989990234375
Wake	3839.989990234375
N1	3857.989990234375
N2	3905.97998046875
N1	3923.989990234375
Wake	3935.97998046875
N1	3965.97998046875
N2	4025.97998046875
N1	4049.989990234375
REM	4193.990234375
Wake	4217.990234375
N1	4289.990234375
Wake	4325.990234375
N1	4349.990234375
N2	4373.990234375
N1	4385.990234375
Wake	4409.990234375
N1	4421.990234375
N2	4457.990234375
Wake	4463.990234375
N1	4481.990234375
N2	4661.990234375
N1	4667.990234375
Wake	4673.990234375
N1	4679.990234375
N2	4709.990234375
N1	4727.990234375
Wake	4751.990234375
N1	4781.990234375
N2	4883.990234375
N1	4901.990234375
N2	4961.990234375
N1	4967.990234375
Wake	4973.990234375
N1	4985.990234375
N2	5027.990234375
Wake	5033.990234375
N1	5063.990234375
N2	5105.990234375
N1	5135.990234375
Wake	5141.990234375
N1	5153.990234375
N2	5159.990234375
N1	5189.990234375
N2	5237.990234375
Wake	5243.990234375
N1	5255.990234375
N2	5291.990234375
N1	5315.990234375
REM	5381.990234375
N1	5387.990234375
Wake	7199.990234375
