state	start_time	end_time	duration
Wake	2020-03-17 09:56:23.989990234	2020-03-17 09:56:35.989990234	0 days 00:00:12
N1	2020-03-17 09:56:35.989990234	2020-03-17 09:56:41.989990234	0 days 00:00:06
N2	2020-03-17 09:56:41.989990234	2020-03-17 09:57:53.989990234	0 days 00:01:12
N1	2020-03-17 09:57:53.989990234	2020-03-17 09:58:23.989990234	0 days 00:00:30
Wake	2020-03-17 09:58:23.989990234	2020-03-17 09:58:41.989990234	0 days 00:00:18
N1	2020-03-17 09:58:41.989990234	2020-03-17 09:58:47.989990234	0 days 00:00:06
N2	2020-03-17 09:58:47.989990234	2020-03-17 10:00:23.989990234	0 days 00:01:36
N1	2020-03-17 10:00:23.989990234	2020-03-17 10:00:35.989990234	0 days 00:00:12
Wake	2020-03-17 10:00:35.989990234	2020-03-17 10:00:59.989990234	0 days 00:00:24
N1	2020-03-17 10:00:59.989990234	2020-03-17 10:01:17.989990234	0 days 00:00:18
N2	2020-03-17 10:01:17.989990234	2020-03-17 10:03:47.989990234	0 days 00:02:30
Wake	2020-03-17 10:03:47.989990234	2020-03-17 10:03:53.989990234	0 days 00:00:06
N1	2020-03-17 10:03:53.989990234	2020-03-17 10:04:35.989990234	0 days 00:00:42
REM	2020-03-17 10:04:35.989990234	2020-03-17 10:04:47.989990234	0 days 00:00:12
N1	2020-03-17 10:04:47.989990234	2020-03-17 10:04:53.989990234	0 days 00:00:06
Wake	2020-03-17 10:04:53.989990234	2020-03-17 10:05:11.989990234	0 days 00:00:18
N1	2020-03-17 10:05:11.989990234	2020-03-17 10:05:35.989990234	0 days 00:00:24
REM	2020-03-17 10:05:35.989990234	2020-03-17 10:07:23.989990234	0 days 00:01:48
Wake	2020-03-17 10:07:23.989990234	2020-03-17 10:07:35.989990234	0 days 00:00:12
N1	2020-03-17 10:07:35.989990234	2020-03-17 10:08:29.989990234	0 days 00:00:54
Wake	2020-03-17 10:08:29.989990234	2020-03-17 10:08:35.989990234	0 days 00:00:06
N1	2020-03-17 10:08:35.989990234	2020-03-17 10:08:53.989990234	0 days 00:00:18
N2	2020-03-17 10:08:53.989990234	2020-03-17 10:08:59.989990234	0 days 00:00:06
N1	2020-03-17 10:08:59.989990234	2020-03-17 10:09:41.989990234	0 days 00:00:42
N2	2020-03-17 10:09:41.989990234	2020-03-17 10:09:59.989990234	0 days 00:00:18
N1	2020-03-17 10:09:59.989990234	2020-03-17 10:10:11.989990234	0 days 00:00:12
Wake	2020-03-17 10:10:11.989990234	2020-03-17 10:10:17.989990234	0 days 00:00:06
N2	2020-03-17 10:10:17.989990234	2020-03-17 10:10:23.989990234	0 days 00:00:06
N1	2020-03-17 10:10:23.989990234	2020-03-17 10:10:35.989990234	0 days 00:00:12
N2	2020-03-17 10:10:35.989990234	2020-03-17 10:11:23.989990234	0 days 00:00:48
N1	2020-03-17 10:11:23.989990234	2020-03-17 10:11:53.989990234	0 days 00:00:30
Wake	2020-03-17 10:11:53.989990234	2020-03-17 10:12:05.989990234	0 days 00:00:12
N1	2020-03-17 10:12:05.989990234	2020-03-17 10:12:23.989990234	0 days 00:00:18
N2	2020-03-17 10:12:23.989990234	2020-03-17 10:13:11.979980469	0 days 00:00:47.989990234
N1	2020-03-17 10:13:11.979980469	2020-03-17 10:13:29.989990234	0 days 00:00:18.010009766
Wake	2020-03-17 10:13:29.989990234	2020-03-17 10:13:41.979980469	0 days 00:00:11.989990234
N1	2020-03-17 10:13:41.979980469	2020-03-17 10:14:11.979980469	0 days 00:00:30
N2	2020-03-17 10:14:11.979980469	2020-03-17 10:15:11.979980469	0 days 00:01:00
N1	2020-03-17 10:15:11.979980469	2020-03-17 10:15:35.989990234	0 days 00:00:24.010009766
REM	2020-03-17 10:15:35.989990234	2020-03-17 10:17:59.990234375	0 days 00:02:24.000244141
Wake	2020-03-17 10:17:59.990234375	2020-03-17 10:18:23.990234375	0 days 00:00:24
N1	2020-03-17 10:18:23.990234375	2020-03-17 10:19:35.990234375	0 days 00:01:12
Wake	2020-03-17 10:19:35.990234375	2020-03-17 10:20:11.990234375	0 days 00:00:36
N1	2020-03-17 10:20:11.990234375	2020-03-17 10:20:35.990234375	0 days 00:00:24
N2	2020-03-17 10:20:35.990234375	2020-03-17 10:20:59.990234375	0 days 00:00:24
N1	2020-03-17 10:20:59.990234375	2020-03-17 10:21:11.990234375	0 days 00:00:12
Wake	2020-03-17 10:21:11.990234375	2020-03-17 10:21:35.990234375	0 days 00:00:24
N1	2020-03-17 10:21:35.990234375	2020-03-17 10:21:47.990234375	0 days 00:00:12
N2	2020-03-17 10:21:47.990234375	2020-03-17 10:22:23.990234375	0 days 00:00:36
Wake	2020-03-17 10:22:23.990234375	2020-03-17 10:22:29.990234375	0 days 00:00:06
N1	2020-03-17 10:22:29.990234375	2020-03-17 10:22:47.990234375	0 days 00:00:18
N2	2020-03-17 10:22:47.990234375	2020-03-17 10:25:47.990234375	0 days 00:03:00
N1	2020-03-17 10:25:47.990234375	2020-03-17 10:25:53.990234375	0 days 00:00:06
Wake	2020-03-17 10:25:53.990234375	2020-03-17 10:25:59.990234375	0 days 00:00:06
N1	2020-03-17 10:25:59.990234375	2020-03-17 10:26:05.990234375	0 days 00:00:06
